Y,V
0.02817088,0.72301587
-0.7410032,0.23343543
-0.5406212,0.31872921
-0.24612808,0.01909462
0.06945337,0.07876801
-0.5841569,0.45658762
-0.51238549,0.01923431
-0.07862326,0.04161232
-0.42417337,0.07506123
-0.3348234,0.01370499
-0.21339753,0.0379751
-0.03890844,0.05265218
-0.59325371,0.18076732
0.28154593,0.04220784
-0.32133359,0.08863069
-0.13534792,0.06808023
0.14060645,0.13262283
0.32204972,0.30541643
0.44438052,0.51358597
-0.21750973,0.0675177
-0.59107599,0.06615537
-0.60809913,0.07419013
